"COUB","Country of birth","FBORN","Place of birth","EDU","Education level","AGE","Age","SEX","Sex","COU","Country of residence","Value","Flag Codes","Flags"
"SEN","Senegal","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",5,,
"SDN","Sudan","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",300,,
"TUN","Tunisia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",94,,
"UGA","Uganda","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",36,,
"TZA","United Rep. of Tanzania","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",98,,
"ZMB","Zambia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",66,,
"ZWE","Zimbabwe","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",442,,
"AFRI_UN","Unknown place of birth in Africa","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",641,,
"ASIA_UN","Unknown place of birth in Asia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",749,,
"VNM","Vietnam","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",10092,,
"YEM","Yemen","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",4,,
"LKA","Sri Lanka","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",5892,,
"SYR","Syria","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",574,,
"THA","Thailand","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",408,,
"TLS","Timor-Leste","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",762,,
"KOREA-SO","South Korea","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",1572,,
"SGP","Singapore","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",1624,,
"PSE","Occup. Palestinian Terr.","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",704,,
"PAK","Pakistan","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",514,,
"PHL","Philippines","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",4803,,
"MMR","Myanmar","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",1936,,
"NPL","Nepal","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",4,,
"MYS","Malaysia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",4260,,
"LBN","Lebanon","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",6615,,
"MAC","Macau","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",191,,
"LAO","Laos","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",560,,
"JPN","Japan","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",1287,,
"JOR","Jordan","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",105,,
"HKG","Hong Kong","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",2758,,
"ISR","Israel","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",565,,
"IND","India","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",12126,,
"IDN","Indonesia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",3482,,
"IRN","Iran","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",1527,,
"IRQ","Iraq","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",1302,,
"CHN","China","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",21294,,
"TWN","Chinese Taipei","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",405,,
"KHM","Cambodia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",1425,,
"BRN","Brunei Darussalam","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",4,,
"BGD","Bangladesh","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",86,,
"USSR-ARM","Armenia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",81,,
"AFG","Afghanistan","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",345,,
"ASIA","Asia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",88056,,
"EURO","Europe","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",572357,,
"ALB","Albania","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",307,,
"USSR-BLR","Belarus","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",321,,
"BEL","Belgium","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",952,,
"AUT","Austria","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",6431,,
"FYUG-BIH","Bosnia-Herzegovina","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",1541,,
"BGR","Bulgaria","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",494,,
"CYP","Cyprus","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",4507,,
"CSFR-CZE","Czech Republic","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",1848,,
"DNK","Denmark","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",1588,,
"USSR-EST","Estonia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",1761,,
"FYUG-HRV","Croatia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",10971,,
"IRL","Ireland","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",10872,,
"ITA","Italy","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",91873,,
"HUN","Hungary","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",9675,,
"ISL","Iceland","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",27,,
"GIB","Gibraltar","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",73,,
"GRC","Greece","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",36557,,
"USSR-GEO","Georgia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",4,,
"DEU","Germany","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",29337,,
"FIN","Finland","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",1770,,
"FRA","France","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",2658,,
"USSR-LVA","Latvia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",4511,,
"USSR-LTU","Lithuania","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",2426,,
"LUX","Luxembourg","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",4,,
"FYUG-MKD","Macedonia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",5828,,
"USSR-MDA","Moldova","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",65,,
"MLT","Malta","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",11556,,
"NLD","Netherlands","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",26604,,
"NOR","Norway","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",627,,
"ROU","Romania","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",2445,,
"USSR-RUS","Russia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",4541,,
"POL","Poland","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",22290,,
"PRT","Portugal","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",1598,,
"CSFR-SVK","Slovak Republic","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",573,,
"FYUG-SVN","Slovenia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",2803,,
"ESP","Spain","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",3029,,
"FYUG-YUG","Serbia and Montenegro","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",11038,,
"TUR","Türkiye","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",2131,,
"SWE","Sweden","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",608,,
"CHE","Switzerland","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",1446,,
"GBR","United Kingdom","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",246982,,
"USSR-UKR","Ukraine","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",6912,,
"EURO_UN","Unknown place of birth in Europe","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",773,,
"USA","United States","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",3798,,
"CAN","Canada","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",2296,,
"NOAM","North America","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",6094,,
"OCEA","Oceania","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",1512679,,
"AUS","Australia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",1485425,,
"COK","Cook Islands","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",130,,
"NZL","New Zealand","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",22346,,
"NRU","Nauru","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",5,,
"FJI","Fiji","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",2353,,
"KIR","Kiribati","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",19,,
"TKL","Tokelau","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",4,,
"TON","Tonga","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",504,,
"SLB","Solomon Islands","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",22,,
"WSM","Samoa","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",546,,
"NFK","Norfolk Islands","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",13,,
"PNG","Papua New Guinea","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",952,,
"OCEA_UN","Unknown place of birth in Oceania","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",312,,
"VUT","Vanuatu","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",48,,
"SCAC_UN","Unknown place of birth in South and Central America and Carribean","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",604,,
"SLV","Salvador","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",376,,
"PRY","Paraguay","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",6,,
"PER","Peru","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",378,,
"TTO","Trinidad and Tobago","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",103,,
"URY","Uruguay","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",1234,,
"GTM","Guatemala","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",4,,
"JAM","Jamaica","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",61,,
"GUY","Guyana","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",42,,
"HTI","Haiti","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",4,,
"MEX","Mexico","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",57,,
"NIC","Nicaragua","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",7,,
"COL","Colombia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",105,,
"CUB","Cuba","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",49,,
"CHL","Chile","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",1508,,
"ECU","Ecuador","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",35,,
"FLK","Falkland Islands","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",18,,
"ARG","Argentina","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",902,,
"SCAC","South and Central America and Caribbean","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",5749,,
"BOL","Bolivia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",19,,
"BRA","Brazil","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",172,,
"BMU","Bermuda","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",24,,
"BRB","Barbados","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",41,,
"OTHER","Other and unknown places of birth","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",165488,,
"OTH","Other place of birth (foreign-born)","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",193,,
"UNK","Unknown place of birth (foreign-born status unknown)","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",165295,,
"AFRI","Africa","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",166094,,
"DZA","Algeria","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",759,,
"AGO","Angola","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",250,,
"BWA","Botswana","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",493,,
"CMR","Cameroon","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",4,,
"COG","Congo","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",23,,
"COD","Congo, Dem. Rep. Of","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",135,,
"CIV","Côte d’Ivoire","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",8,,
"EGY","Egypt","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",32181,,
"ERI","Eritrea","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",1328,,
"ETH","Ethiopia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",2898,,
"GMB","Gambia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",4,,
"GHA","Ghana","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",1748,,
"KEN","Kenya","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",6092,,
"LSO","Lesotho","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",5,,
"LBR","Liberia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",41,,
"LBY","Libya","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",1230,,
"MDG","Madagascar","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",43,,
"MWI","Malawi","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",306,,
"MUS","Mauritius","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",16557,,
"MAR","Morocco","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",953,,
"MOZ","Mozambique","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",363,,
"NAM","Namibia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",246,,
"NGA","Nigeria","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",1425,,
"RWA","Rwanda","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",4,,
"SYC","Seychelles","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",2261,,
"SLE","Sierra Leone","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",151,,
"SOM","Somalia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",2677,,
"ZAF","South Africa","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",68856,,
"SEN","Senegal","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",65,,
"SDN","Sudan","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",3734,,
"SWZ","Swaziland","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",37,,
"TUN","Tunisia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",265,,
"UGA","Uganda","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",1012,,
"TZA","United Rep. of Tanzania","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",1505,,
"ZMB","Zambia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",2836,,
"ZWE","Zimbabwe","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",10742,,
"AFRI_UN","Unknown place of birth in Africa","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",4857,,
"ASIA_UN","Unknown place of birth in Asia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",4836,,
"VNM","Vietnam","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",150657,,
"YEM","Yemen","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",187,,
"USSR-UZB","Uzbekistan","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",208,,
"ARE","United Arab Emirates","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",727,,
"LKA","Sri Lanka","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",49739,,
"SYR","Syria","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",6230,,
"THA","Thailand","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",20617,,
"TLS","Timor-Leste","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",8849,,
"KOREA-SO","South Korea","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",33344,,
"SGP","Singapore","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",30377,,
"SAU","Saudi Arabia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",668,,
"QAT","Qatar","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",100,,
"KOREA-NO","North Korea","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","ALL_AGE","All ages","ALL_SEX","Men and women","AUS","Australia",9,,
